# input,time
4.000000000000000000e+00,7.915496826171875000e-05
8.000000000000000000e+00,1.304149627685546875e-04
1.600000000000000000e+01,6.182193756103515625e-04
3.200000000000000000e+01,2.784252166748046875e-03
6.400000000000000000e+01,1.169109344482421875e-02
1.280000000000000000e+02,4.914569854736328125e-02
2.560000000000000000e+02,1.983292102813720703e-01
5.120000000000000000e+02,7.869443893432617188e-01
1.024000000000000000e+03,3.170941114425659180e+00
2.048000000000000000e+03,1.279369807243347168e+01
4.096000000000000000e+03,5.139339923858642578e+01
8.192000000000000000e+03,2.033669893741607666e+02
