# input,time
2.000000000000000000e+00,1.082420349121093750e-04
3.000000000000000000e+00,1.320838928222656250e-04
4.000000000000000000e+00,3.201961517333984375e-04
5.000000000000000000e+00,6.790161132812500000e-04
6.000000000000000000e+00,1.717805862426757812e-03
7.000000000000000000e+00,3.943204879760742188e-03
8.000000000000000000e+00,8.738756179809570312e-03
9.000000000000000000e+00,2.223443984985351562e-02
1.000000000000000000e+01,4.469656944274902344e-02
1.100000000000000000e+01,1.054759025573730469e-01
1.200000000000000000e+01,2.452723979949951172e-01
1.300000000000000000e+01,5.438249111175537109e-01
