# input,time
4.000000000000000000e+00,7.772445678710937500e-05
8.000000000000000000e+00,1.111030578613281250e-04
1.600000000000000000e+01,2.660751342773437500e-04
3.200000000000000000e+01,7.081031799316406250e-04
6.400000000000000000e+01,1.730918884277343750e-03
1.280000000000000000e+02,3.821134567260742188e-03
2.560000000000000000e+02,9.240865707397460938e-03
5.120000000000000000e+02,2.059030532836914062e-02
1.024000000000000000e+03,4.691624641418457031e-02
2.048000000000000000e+03,1.099438667297363281e-01
4.096000000000000000e+03,2.425208091735839844e-01
8.192000000000000000e+03,5.434455871582031250e-01
